architecture,target,event,occurrence,event_label,attempted_runs,event_matched_runs,actual_injections,not_reached_runs,matched_but_not_triggered_runs,drained_after_injection,faults_after_injection,no_result_runs,halt_recovered_runs,failure_probability_given_injection,fault_reasons,median_event_match_mission_ms,median_halt_start_after_event_ms,requested_duration_ms,median_actual_down_ms,median_drained_mission_ms,median_drained_completion_delta_ms,median_impact_ratio_drained,baseline_successes,baseline_attempts,baseline_failures,baseline_success_rate,baseline_median_ms,baseline_mean_ms,baseline_stdev_ms,baseline_mad_ms,baseline_noise_band_ms,drained_impact_exceeds_noise_band
DECOMPOSED_3CD,PRODUCTION,UNLOADER_DONE,1,after_first_bottle_completion,20,17,17,3,0,17,0,0,17,0.0,,10085.36,0.0,500,501.1135,10670.4283,-3675.553200000002,-7.3347718630609675,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,PRODUCTION,LOADER_DONE,2,after_second_bottle_admitted,20,17,17,3,0,16,1,0,17,0.058823529411764705,TABLE_ALIGNMENT_TIMEOUT:1,3592.0176,0.0,500,500.8073,10676.26235,-3669.7191500000017,-7.327607145502874,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,PRODUCTION,CONVEYOR_DONE,2,after_second_bottle_transfer_to_rotary,20,20,20,0,0,17,3,0,20,0.15,TABLE_ALIGNMENT_TIMEOUT:3,4624.13115,0.0,500,500.948,10685.4913,-3660.490200000002,-7.307126088935383,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,PRODUCTION,FILLER_DONE,2,after_second_bottle_fill,20,17,17,3,0,16,1,0,17,0.058823529411764705,TABLE_ALIGNMENT_TIMEOUT:1,6166.845,0.0,500,501.1797,10687.13205,-3658.8494500000015,-7.300474161263916,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,PRODUCTION,TABLE_ALIGNED,3,after_third_confirmed_rotation,20,20,20,0,0,16,4,0,20,0.2,TABLE_ALIGNMENT_TIMEOUT:4,6684.382250000001,0.0,500,500.64175,10688.5905,-3657.3910000000014,-7.3054055120253185,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,PRODUCTION,TABLE_ALIGNED,5,after_fifth_confirmed_rotation,20,15,15,5,0,15,0,0,15,0.0,,8915.2802,0.0,500,500.8066,10691.5987,-3654.382800000001,-7.296994089135409,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,SAFETY,BATCH_ACCEPTED,1,after_valid_B2_acceptance,20,20,20,0,0,19,1,0,20,0.05,TABLE_ALIGNMENT_TIMEOUT:1,0.06745,0.0,500,500.7483,10198.3486,-4147.632900000002,-8.282869657270933,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,SAFETY,LOADER_DONE,1,after_first_bottle_admitted,20,20,20,0,0,16,4,0,20,0.2,TABLE_ALIGNMENT_TIMEOUT:4,1035.5399499999999,0.0,500,500.6343,10187.52105,-4158.460450000001,-8.306383421990866,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,SAFETY,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,20,20,20,0,0,17,3,0,20,0.15,TABLE_ALIGNMENT_TIMEOUT:3,2057.0134,0.0,500,500.64914999999996,10186.8957,-4159.085800000003,-8.30738612059963,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,SAFETY,TABLE_ALIGNED,1,after_first_confirmed_rotation,20,19,19,1,0,19,0,0,19,0.0,,2574.1423,0.0,500,500.7645,10185.457,-4160.524500000001,-8.308345539669848,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
